asset,type
HMS Activity,escort carrier
HMS Albatross,repair ship
HMS Ark Royal,aircraft carrier
HMS Audacity,escort carrier
HMS Belfast,cruiser
HMS Cornwall,cruiser
HMS Courageous,aircraft carrier
HMS Dido,cruiser
HMS Eagle,aircraft carrier
HMS Hermes,aircraft carrier
HMS Hood,battlecruiser
HMS Jamaica,cruiser
HMS Nelson,battleship
HMS Pegasus,aircraft carrier
HMS Royal Oak,battleship
HMS Royal Sovereign,battleship
HMS Thames,submarine
HMS Unicorn,repair ship
HMS Upholder,submarine
HMS Warspite,battleship
